sample,number_reads,min_length,max_length
SRR12960723_Q1.fastq.gz,203428,100,151
SRR12960724_Q1.fastq.gz,198238,100,151
SRR12960725_Q1.fastq.gz,186481,100,151
SRR12960726_Q1.fastq.gz,174763,100,151
SRR12960727_Q1.fastq.gz,199749,100,151
SRR12960728_Q1.fastq.gz,238035,100,151
SRR12960729_Q1.fastq.gz,294213,100,151
SRR12960730_Q1.fastq.gz,203192,100,151
SRR12960731_Q1.fastq.gz,207288,100,151
SRR12960732_Q1.fastq.gz,218114,100,151
SRR12960733_Q1.fastq.gz,195042,100,151
SRR12960734_Q1.fastq.gz,238832,100,151
SRR12960735_Q1.fastq.gz,220746,100,151
SRR12960736_Q1.fastq.gz,194558,100,151
SRR12960737_Q1.fastq.gz,221946,100,151
SRR12960738_Q1.fastq.gz,250039,100,151
SRR12960739_Q1.fastq.gz,258240,100,151
SRR12960740_Q1.fastq.gz,214622,100,151
SRR12960741_Q1.fastq.gz,215998,100,151
SRR12960742_Q1.fastq.gz,188557,100,151
SRR12960743_Q1.fastq.gz,209497,100,151
SRR12960744_Q1.fastq.gz,238522,100,151
SRR12960745_Q1.fastq.gz,224302,100,151
SRR12960746_Q1.fastq.gz,218306,100,151
SRR12960747_Q1.fastq.gz,229243,100,151
SRR12960748_Q1.fastq.gz,201818,100,151
SRR12960749_Q1.fastq.gz,250219,100,151
SRR12960750_Q1.fastq.gz,240384,100,151
SRR12960751_Q1.fastq.gz,231297,100,151
SRR12960752_Q1.fastq.gz,225457,100,151
SRR12960753_Q1.fastq.gz,213886,100,151
SRR12960754_Q1.fastq.gz,192946,100,151
SRR12960755_Q1.fastq.gz,211186,100,151
SRR12960756_Q1.fastq.gz,215742,100,151
SRR12960757_Q1.fastq.gz,192891,100,151
SRR12960758_Q1.fastq.gz,223108,100,151
SRR12960759_Q1.fastq.gz,218162,100,151
SRR12960760_Q1.fastq.gz,217697,100,151
SRR12960761_Q1.fastq.gz,220534,100,151
SRR12960762_Q1.fastq.gz,264392,100,151
SRR12960763_Q1.fastq.gz,201334,100,151
SRR12960764_Q1.fastq.gz,198740,100,151
SRR12960765_Q1.fastq.gz,249381,100,151
SRR12960766_Q1.fastq.gz,187568,100,151
SRR12960767_Q1.fastq.gz,36806,100,151
SRR13182852_Q1.fastq.gz,128561,100,301
SRR13182853_Q1.fastq.gz,211627,100,301
SRR13182854_Q1.fastq.gz,103440,100,301
SRR13182855_Q1.fastq.gz,193563,100,301
SRR13182856_Q1.fastq.gz,218453,100,301
SRR13182857_Q1.fastq.gz,150435,100,301
SRR13182858_Q1.fastq.gz,150924,100,301
SRR13182859_Q1.fastq.gz,221709,100,301
SRR13182860_Q1.fastq.gz,159060,100,301
SRR13182861_Q1.fastq.gz,58376,100,301
SRR13182862_Q1.fastq.gz,218128,100,301
SRR13182863_Q1.fastq.gz,207798,100,301
SRR13182864_Q1.fastq.gz,284217,100,301
SRR13182865_Q1.fastq.gz,56662,100,301
SRR13182866_Q1.fastq.gz,223293,100,301
SRR13182868_Q1.fastq.gz,409130,100,301
SRR13182869_Q1.fastq.gz,123632,100,301
SRR13182870_Q1.fastq.gz,241438,100,301
SRR13182871_Q1.fastq.gz,128372,100,301
SRR13182872_Q1.fastq.gz,152413,100,301
SRR13182873_Q1.fastq.gz,181899,100,301
SRR13182874_Q1.fastq.gz,169468,100,301
SRR13182875_Q1.fastq.gz,175467,100,301
SRR13182876_Q1.fastq.gz,123214,100,301
SRR13182877_Q1.fastq.gz,166196,100,301
SRR13182878_Q1.fastq.gz,145438,100,301
SRR13182879_Q1.fastq.gz,283718,100,301
SRR13182880_Q1.fastq.gz,109882,100,301
SRR13182881_Q1.fastq.gz,170713,100,301
SRR13182882_Q1.fastq.gz,258491,100,301
SRR13182883_Q1.fastq.gz,272515,100,301
SRR13182884_Q1.fastq.gz,244709,100,301
SRR13182885_Q1.fastq.gz,273414,100,301
SRR13182886_Q1.fastq.gz,275927,100,301
SRR13182887_Q1.fastq.gz,220823,100,301
SRR13182888_Q1.fastq.gz,163502,100,301
SRR13182889_Q1.fastq.gz,213356,100,301
SRR13182890_Q1.fastq.gz,148415,100,301
SRR13182891_Q1.fastq.gz,10809,100,301
SRR13182892_Q1.fastq.gz,197423,100,301
SRR13182893_Q1.fastq.gz,208502,100,301
SRR13182894_Q1.fastq.gz,85063,100,301
SRR13182895_Q1.fastq.gz,225079,100,301
SRR13182896_Q1.fastq.gz,232542,100,301
SRR13182897_Q1.fastq.gz,128069,100,301
SRR13182898_Q1.fastq.gz,198930,100,301
SRR13182899_Q1.fastq.gz,117103,100,301
SRR13182900_Q1.fastq.gz,128023,100,301
SRR13182901_Q1.fastq.gz,310749,100,301
SRR13182902_Q1.fastq.gz,216955,100,301
SRR13182903_Q1.fastq.gz,114821,100,301
SRR13182904_Q1.fastq.gz,196998,100,301
SRR13182905_Q1.fastq.gz,124709,100,301
SRR13182906_Q1.fastq.gz,137021,100,301
SRR13182907_Q1.fastq.gz,118198,100,301
SRR13182908_Q1.fastq.gz,106912,100,301
SRR13182909_Q1.fastq.gz,91356,100,301
SRR13182910_Q1.fastq.gz,134610,100,301
SRR13182911_Q1.fastq.gz,261384,100,301
SRR13182912_Q1.fastq.gz,176590,100,301
SRR13182913_Q1.fastq.gz,226886,100,301
SRR13182914_Q1.fastq.gz,73322,100,301
SRR13182915_Q1.fastq.gz,268108,100,301
SRR13182916_Q1.fastq.gz,72055,100,301
SRR13182917_Q1.fastq.gz,123283,100,301
SRR13182918_Q1.fastq.gz,126141,100,301
SRR13182919_Q1.fastq.gz,116620,100,301
SRR13182920_Q1.fastq.gz,142952,100,301
SRR13182921_Q1.fastq.gz,198170,100,301
SRR13182922_Q1.fastq.gz,167731,100,301
SRR13182923_Q1.fastq.gz,208518,100,301
SRR13182924_Q1.fastq.gz,186240,100,301
SRR13182925_Q1.fastq.gz,201092,100,301
SRR13297080_Q1.fastq.gz,149089,100,301
SRR13297081_Q1.fastq.gz,178022,100,301
SRR13297082_Q1.fastq.gz,157158,100,301
SRR13297083_Q1.fastq.gz,91111,100,301
SRR13297084_Q1.fastq.gz,170679,100,301
SRR13297085_Q1.fastq.gz,80589,100,301
SRR13297086_Q1.fastq.gz,157842,100,301
SRR13297087_Q1.fastq.gz,84550,100,301
SRR13297088_Q1.fastq.gz,119634,100,301
SRR13297089_Q1.fastq.gz,136220,100,301
SRR13297090_Q1.fastq.gz,124300,100,301
SRR13297091_Q1.fastq.gz,85161,100,301
SRR13297092_Q1.fastq.gz,185725,100,301
SRR13297093_Q1.fastq.gz,200537,100,301
SRR13297094_Q1.fastq.gz,210548,100,301
SRR13297095_Q1.fastq.gz,128523,100,301
SRR13297096_Q1.fastq.gz,226758,100,301
SRR13297097_Q1.fastq.gz,150779,100,301
SRR13297098_Q1.fastq.gz,107352,100,301
SRR13297099_Q1.fastq.gz,222129,100,301
SRR13297100_Q1.fastq.gz,120787,100,301
SRR13297101_Q1.fastq.gz,178714,100,301
SRR13297102_Q1.fastq.gz,158072,100,301
SRR13297103_Q1.fastq.gz,171014,100,301
SRR13297104_Q1.fastq.gz,122739,100,301
SRR13297105_Q1.fastq.gz,171309,100,301
SRR13297106_Q1.fastq.gz,96803,100,301
SRR13297107_Q1.fastq.gz,90639,100,301
SRR13297108_Q1.fastq.gz,157967,100,301
SRR13297109_Q1.fastq.gz,165818,100,301
SRR13297110_Q1.fastq.gz,120540,100,301
SRR13297111_Q1.fastq.gz,82846,100,301
SRR13297112_Q1.fastq.gz,159642,100,301
SRR13297113_Q1.fastq.gz,98418,100,301
SRR13297114_Q1.fastq.gz,172567,100,301
SRR13297115_Q1.fastq.gz,110596,100,301
SRR13297116_Q1.fastq.gz,106278,100,301
SRR13297117_Q1.fastq.gz,190150,100,301
SRR13297118_Q1.fastq.gz,83285,100,301
SRR13297119_Q1.fastq.gz,125505,100,301
SRR13297120_Q1.fastq.gz,143666,100,301
SRR13297121_Q1.fastq.gz,200778,100,301
SRR13297122_Q1.fastq.gz,137612,100,301
SRR13297123_Q1.fastq.gz,121639,100,301
SRR13297124_Q1.fastq.gz,194568,100,301
