sample,number_reads,min_length,max_length
PRJNA673096/SRR12960723/SRR12960723,359688,35,151
PRJNA673096/SRR12960724/SRR12960724,310826,35,151
PRJNA673096/SRR12960725/SRR12960725,341911,35,151
PRJNA673096/SRR12960726/SRR12960726,301350,35,151
PRJNA673096/SRR12960727/SRR12960727,337271,35,151
PRJNA673096/SRR12960728/SRR12960728,392167,35,151
PRJNA673096/SRR12960729/SRR12960729,491221,35,151
PRJNA673096/SRR12960730/SRR12960730,327839,35,151
PRJNA673096/SRR12960731/SRR12960731,341690,35,151
PRJNA673096/SRR12960732/SRR12960732,365570,35,151
PRJNA673096/SRR12960733/SRR12960733,335778,35,151
PRJNA673096/SRR12960734/SRR12960734,374225,35,151
PRJNA673096/SRR12960735/SRR12960735,364433,35,151
PRJNA673096/SRR12960736/SRR12960736,324390,35,151
PRJNA673096/SRR12960737/SRR12960737,358353,35,151
PRJNA673096/SRR12960738/SRR12960738,412212,35,151
PRJNA673096/SRR12960739/SRR12960739,413014,35,151
PRJNA673096/SRR12960740/SRR12960740,349195,35,151
PRJNA673096/SRR12960741/SRR12960741,348601,35,151
PRJNA673096/SRR12960742/SRR12960742,305783,35,151
PRJNA673096/SRR12960743/SRR12960743,332651,35,151
PRJNA673096/SRR12960744/SRR12960744,381908,35,151
PRJNA673096/SRR12960745/SRR12960745,374264,35,151
PRJNA673096/SRR12960746/SRR12960746,345476,35,151
PRJNA673096/SRR12960747/SRR12960747,379495,35,151
PRJNA673096/SRR12960748/SRR12960748,335330,35,151
PRJNA673096/SRR12960749/SRR12960749,398894,35,151
PRJNA673096/SRR12960750/SRR12960750,390117,35,151
PRJNA673096/SRR12960751/SRR12960751,370524,35,151
PRJNA673096/SRR12960752/SRR12960752,374984,35,151
PRJNA673096/SRR12960753/SRR12960753,346845,35,151
PRJNA673096/SRR12960754/SRR12960754,298756,35,151
PRJNA673096/SRR12960755/SRR12960755,340379,35,151
PRJNA673096/SRR12960756/SRR12960756,366126,35,151
PRJNA673096/SRR12960757/SRR12960757,315321,35,151
PRJNA673096/SRR12960758/SRR12960758,369952,35,151
PRJNA673096/SRR12960759/SRR12960759,348498,35,151
PRJNA673096/SRR12960760/SRR12960760,345133,35,151
PRJNA673096/SRR12960761/SRR12960761,352934,35,151
PRJNA673096/SRR12960762/SRR12960762,395905,35,151
PRJNA673096/SRR12960763/SRR12960763,341975,35,151
PRJNA673096/SRR12960764/SRR12960764,338625,35,151
PRJNA673096/SRR12960765/SRR12960765,410080,35,151
PRJNA673096/SRR12960766/SRR12960766,293871,35,151
PRJNA673096/SRR12960767/SRR12960767,47520,35,151
PRJNA673096/SRR13182852/SRR13182852,223922,35,301
PRJNA673096/SRR13182853/SRR13182853,355909,35,301
PRJNA673096/SRR13182854/SRR13182854,167126,35,301
PRJNA673096/SRR13182855/SRR13182855,330383,35,301
PRJNA673096/SRR13182856/SRR13182856,357309,35,301
PRJNA673096/SRR13182857/SRR13182857,280105,35,301
PRJNA673096/SRR13182858/SRR13182858,253591,35,301
PRJNA673096/SRR13182859/SRR13182859,369936,35,301
PRJNA673096/SRR13182860/SRR13182860,260246,35,301
PRJNA673096/SRR13182861/SRR13182861,100221,35,301
PRJNA673096/SRR13182862/SRR13182862,371077,35,301
PRJNA673096/SRR13182863/SRR13182863,382144,35,301
PRJNA673096/SRR13182864/SRR13182864,440828,35,301
PRJNA673096/SRR13182865/SRR13182865,100270,35,301
PRJNA673096/SRR13182866/SRR13182866,346630,35,301
PRJNA673096/SRR13182868/SRR13182868,624871,35,301
PRJNA673096/SRR13182869/SRR13182869,214915,35,301
PRJNA673096/SRR13182870/SRR13182870,363871,35,301
PRJNA673096/SRR13182871/SRR13182871,209457,35,301
PRJNA673096/SRR13182872/SRR13182872,249379,35,301
PRJNA673096/SRR13182873/SRR13182873,309047,35,301
PRJNA673096/SRR13182874/SRR13182874,307376,35,301
PRJNA673096/SRR13182875/SRR13182875,290963,35,301
PRJNA673096/SRR13182876/SRR13182876,247094,35,301
PRJNA673096/SRR13182877/SRR13182877,267524,35,301
PRJNA673096/SRR13182878/SRR13182878,224803,35,301
PRJNA673096/SRR13182879/SRR13182879,436076,35,301
PRJNA673096/SRR13182880/SRR13182880,204240,35,301
PRJNA673096/SRR13182881/SRR13182881,278240,35,301
PRJNA673096/SRR13182882/SRR13182882,419465,35,301
PRJNA673096/SRR13182883/SRR13182883,445455,35,301
PRJNA673096/SRR13182884/SRR13182884,366763,35,301
PRJNA673096/SRR13182885/SRR13182885,421371,35,301
PRJNA673096/SRR13182886/SRR13182886,472822,35,301
